,coordinate,weight
0,x_0,0.0
1,x_1,0.0
2,x_2,0.0
3,x_3,0.0
4,x_4,0.0
5,x_5,0.0
6,x_6,0.0
7,x_7,0.0
8,x_8,-0.0
9,x_9,-0.0
10,x_10,-0.0
11,x_11,-0.0
12,x_12,-0.0
13,x_13,-0.0
14,x_14,0.0
15,x_15,0.0
16,x_16,0.0
17,x_17,0.0
18,x_18,0.0
19,x_19,0.0
20,x_20,-0.0
21,x_21,-0.9669962678243353
22,x_22,0.43304054172989437
23,x_23,0.0
24,x_24,-0.0
25,x_25,-0.0
26,x_26,-0.0
27,x_27,0.0
28,x_28,0.0
29,x_29,-0.0
30,x_30,-0.0
31,x_31,1.6279607536970522
32,x_32,0.0
33,x_33,0.0
34,x_34,-0.0
35,x_35,-1.0586972674857524
36,x_36,-0.0
37,x_37,-0.0
38,x_38,-0.1366621696623303
39,x_39,0.0
40,x_40,-0.0
41,x_41,-0.0
42,x_42,0.0
43,x_43,0.2975069397160553
44,x_44,0.14171684929781497
45,x_45,0.0
46,x_46,0.0
47,x_47,0.27645139616124814
48,x_48,-0.0
49,x_49,-0.0
50,x_50,0.0
51,x_51,-0.0
52,x_52,-0.0
53,x_53,0.0
54,x_54,0.0
55,x_55,0.0
56,x_56,-0.0
57,x_57,-0.0
58,x_58,0.007270579634758355
59,x_59,-0.0
60,x_60,-0.0
61,x_61,0.035910562759634744
62,x_62,-0.024592467922185897
63,x_63,-0.46860600955122433
64,x_64,0.0
65,x_65,-0.006050836316799802
66,x_66,-0.0
67,x_67,0.0
